# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 9.976121744457865370e-01 nan -9.937520736527291065e-01
1.006266872622373576e+00 -4.158333056213167969e-03 1.599511592646210261e+02 -2.404809779500108391e+02 6.251908423780871971e-03 inf 9.913844567819852793e-01 -inf -1.466486822698996662e+00
1.012612787980433415e+00 -8.316869333429986050e-03 7.997362814917282492e+01 -1.202375509232134192e+02 1.250412196048833469e-02 1.260096580703646396e+04 9.791156870749846419e-01 -inf -1.926168330850783983e+00
1.018965942139327341e+00 -1.242846838741462623e-02 5.351666974417370426e+01 -8.046043718569737280e+01 1.868576659908605109e-02 4.675159148411638853e+03 9.669239112471563757e-01 -7.911278894243311370e+05 -1.885609457519640708e+00
1.025399319267343623e+00 -1.654027629538095193e-02 4.021276606096037654e+01 -6.045848220076351964e+01 2.486772480371168825e-02 2.485184296965015164e+03 9.550052827515159715e-01 -2.445622579163163900e+05 -1.855027932021179549e+00
1.031775850480813883e+00 -2.056536063044464915e-02 3.234226213207580969e+01 -4.862545412987385873e+01 3.091929673676840906e-02 1.542339040716634145e+03 9.431611734670677372e-01 -1.113635970152192749e+05 -1.820820654687308693e+00
1.038232183933827768e+00 -2.459065533145979310e-02 2.704809200688472615e+01 -4.066585402141197392e+01 3.697118450149694535e-02 1.056070327695828610e+03 9.316389377079746792e-01 -6.035204532825495698e+04 -1.786992881592577298e+00
1.044631555683797286e+00 -2.853154528342736335e-02 2.331210331719232798e+01 -3.504892532339820832e+01 4.289617227556274948e-02 7.664709375794967627e+02 9.201881197814837376e-01 -3.671028413985069346e+04 -1.754179014272807091e+00
1.051110304554383257e+00 -3.247264708328960470e-02 2.048278829080155816e+01 -3.079514883511295764e+01 4.882147810164505497e-02 5.833108605279662697e+02 9.090484087721223405e-01 -2.394100354835030885e+04 -1.722020957077454728e+00
1.057529762769516823e+00 -3.633026397901542581e-02 1.830788732488797876e+01 -2.752526104895923353e+01 5.462126690284940800e-02 4.576749159729282042e+02 8.979771368711497725e-01 -1.655624620416019388e+04 -1.690983625939222357e+00
1.064028114073299891e+00 -4.018809402599583802e-02 1.655043415150391084e+01 -2.488299144898849491e+01 6.042137570808869818e-02 3.694404257143383461e+02 8.872046043926324899e-01 -1.188890515102224526e+04 -1.659963239267290058e+00
1.070469484289561235e+00 -4.396608402786148645e-02 1.512826177196853017e+01 -2.274480482196904063e+01 6.610144741499124343e-02 3.038357941404788107e+02 8.764976748215201896e-01 -8.853282338540468118e+03 -1.630035365060720887e+00
1.076989318519302241e+00 -4.774428861100792759e-02 1.393109987619170376e+01 -2.094491360312026629e+01 7.178184126789610708e-02 2.546912233063335407e+02 8.660773827718664108e-01 -6.752426899816980040e+03 -1.600660260218112807e+00
1.083450177148761906e+00 -5.144367337894092951e-02 1.292929595282731725e+01 -1.943873627829543338e+01 7.734373191305321527e-02 2.161846144997500119e+02 8.557199956117006456e-01 -5.280443580374161684e+03 -1.572311055117863843e+00
1.089989020989813318e+00 -5.514327400028303655e-02 1.206186095090632904e+01 -1.813457793592138145e+01 8.290594660891525969e-02 1.860470278491492024e+02 8.456378068642388390e-01 -4.196277384729261030e+03 -1.543974667572386883e+00
1.096471142588465897e+00 -5.876744329007219103e-02 1.131801030396603736e+01 -1.701622435851201587e+01 8.835475257073954758e-02 1.615450316977788532e+02 8.356159548254621372e-01 -3.396738791553270858e+03 -1.516627170527750090e+00
1.103030823269470773e+00 -6.239182982910984610e-02 1.066053931008210043e+01 -1.602773957325795351e+01 9.380388467347611225e-02 1.417474321340688448e+02 8.258582551742595923e-01 -2.782426024888248321e+03 -1.489764921394318486e+00
1.109531932507476393e+00 -6.594178651792487189e-02 1.008663270192452899e+01 -1.516489092584974507e+01 9.914111374445111480e-02 1.252043499215259743e+02 8.161584481584197581e-01 -2.311811555087041143e+03 -1.463830444606788239e+00
1.116110129344265456e+00 -6.949196170271138007e-02 9.571331565838955058e+00 -1.439015355873861957e+01 1.044786708224695326e-01 1.115105412178383659e+02 8.067123687476446259e-01 -1.937533069037619725e+03 -1.437909047520001149e+00
1.122631922310558084e+00 -7.297084157951047589e-02 9.115019348818645284e+00 -1.370410397295994187e+01 1.097090375490651359e-01 9.982268647399958184e+01 7.973218542981488355e-01 -1.642398519636009951e+03 -1.412879759588375528e+00
1.129230381157520391e+00 -7.644994131787967440e-02 8.700211513926063844e+00 -1.308045477552414759e+01 1.149397343270726068e-01 8.996185906249678510e+01 7.881750305199940465e-01 -1.401988320137529399e+03 -1.388281717015732220e+00
1.135770681627126022e+00 -7.985870274496026378e-02 8.328844115894781908e+00 -1.252211675906679034e+01 1.200646795743959272e-01 8.140229937107318392e+01 7.790815549546874497e-01 -1.207949873232259506e+03 -1.364521844195195621e+00
1.142387183946142803e+00 -8.326768525571302815e-02 7.987861217824870685e+00 -1.200946077615853547e+01 1.251899567018647241e-01 7.406910080183850198e+01 7.702222857151505009e-01 -1.046286048342342383e+03 -1.340774697309378816e+00
1.148947617975995872e+00 -8.660923428137778934e-02 7.679674650679531034e+00 -1.154611293238293968e+01 1.302138496077455132e-01 6.761545470935557489e+01 7.614142521100665251e-01 -9.133558731960069963e+02 -1.317833287848177548e+00
1.155583836969821254e+00 -8.995100572736956790e-02 7.394367227501879469e+00 -1.111716308132092479e+01 1.352380763942448993e-01 6.201586025613194408e+01 7.528312970723647357e-01 -8.009401224666127064e+02 -1.295276862914728433e+00
1.162162312277272402e+00 -9.322625231638043131e-02 7.134586879624062128e+00 -1.072659229726747121e+01 1.401622850589903102e-01 5.703127583733230210e+01 7.442975643311319223e-01 -7.070359026906643294e+02 -1.273478413205566984e+00
1.168816115931858191e+00 -9.650172252356709057e-02 6.892424378983099231e+00 -1.036250932988046713e+01 1.450868293962390698e-01 5.266016395555347174e+01 7.359802754566965310e-01 -6.263134686931665556e+02 -1.251692048051348483e+00
1.175414194409063917e+00 -9.971336384973022993e-02 6.670428391581764593e+00 -1.002874601148766054e+01 1.499154089206659046e-01 4.873144357265696414e+01 7.277102888450547313e-01 -5.580030186252347448e+02 -1.230634386672981195e+00
1.182087189361815671e+00 -1.029252301024913829e-01 6.462272481084674780e+00 -9.715790763879907033e+00 1.547443260752373595e-01 4.525486492124004911e+01 7.196484361457287093e-01 -4.987076297783281689e+02 -1.209921552150813984e+00
1.188702852871142301e+00 -1.060741273382763000e-01 6.270434908382074291e+00 -9.427369567801809680e+00 1.594785712013753187e-01 4.210428820810012951e+01 7.116320545726148028e-01 -4.479534899528436540e+02 -1.189895082463360065e+00
1.195392983524429464e+00 -1.092232506743939374e-01 6.089646080173664267e+00 -9.155559771619559584e+00 1.642131557128985175e-01 3.929448798950302546e+01 7.038159371033648748e-01 -4.033307821484918350e+02 -1.169879800284750138e+00
1.202027735706721501e+00 -1.123119111394829950e-01 5.922176579225499005e+00 -8.903775119257607784e+00 1.688568361010910346e-01 3.672995279198895702e+01 6.960435433021097129e-01 -3.647686087775203987e+02 -1.150524561008402280e+00
1.208736548257824950e+00 -1.154007989855860006e-01 5.763660265064197930e+00 -8.665451268885094649e+00 1.735008577902121818e-01 3.442717444556956963e+01 6.884638381461878343e-01 -3.306461694352778409e+02 -1.131478969609681418e+00
1.215388438605214727e+00 -1.184300364400911881e-01 5.616235961748968997e+00 -8.443803869855754485e+00 1.780551968989185774e-01 3.231228755763935823e+01 6.809261889532615131e-01 -3.009015109768162688e+02 -1.113055792757536633e+00
1.222113947137319689e+00 -1.214595024253573852e-01 5.476154988582593752e+00 -8.233196909517618067e+00 1.826098790273341654e-01 3.040189490979003395e+01 6.735740468313380358e-01 -2.743022493372546933e+02 -1.094642785300336651e+00
1.228784425889661636e+00 -1.244316510887455152e-01 5.345352929126288899e+00 -8.036540472221116005e+00 1.870783862654046281e-01 2.863773811342230857e+01 6.662623681203666548e-01 -2.509446561073311557e+02 -1.076828542144268708e+00
1.235528121188790962e+00 -1.274040295362486863e-01 5.220644308774208930e+00 -7.849045306023718638e+00 1.915472383972461889e-01 2.703567961547969034e+01 6.591292813434227460e-01 -2.299693799611646341e+02 -1.059292964573434359e+00
1.242215300550145285e+00 -1.303198578105909944e-01 5.103835777347591751e+00 -7.673427647944615515e+00 1.959310690281828027e-01 2.554904819541476613e+01 6.520351370844487127e-01 -2.114244266828522996e+02 -1.042322609083011997e+00
1.248975261288303829e+00 -1.332359169949540179e-01 4.992131247088019030e+00 -7.505483675530769894e+00 2.003152462354258478e-01 2.419262572941618927e+01 6.451130231901937018e-01 -1.946189204858842743e+02 -1.025361411030723868e+00
1.255680541608842793e+00 -1.360976006183316489e-01 4.887163426207272288e+00 -7.347668110655178886e+00 2.046176713955438764e-01 2.292845751648885155e+01 6.382283985126337988e-01 -1.796739746473168111e+02 -1.008944207311781582e+00
1.262458206813289019e+00 -1.389595163781080223e-01 4.786510961946264686e+00 -7.196340531864013457e+00 2.089204449650702289e-01 2.177009131698884659e+01 6.315094834052595862e-01 -1.660958939043580926e+02 -9.927782260431028405e-01
1.269179759725310719e+00 -1.417677810096572844e-01 4.691695644394354048e+00 -7.053788899551721947e+00 2.131425556546494571e-01 2.068629281642420636e+01 6.248266686979978557e-01 -1.539543667751943588e+02 -9.771262771676556547e-01
1.275973269242897556e+00 -1.445762788798594378e-01 4.600556320244378661e+00 -6.916763993012877698e+00 2.173650164002079999e-01 1.968938843871124433e+01 6.183035607677277445e-01 -1.428337274754487964e+02 -9.614825147068429834e-01
1.282712448252508963e+00 -1.473331548625108622e-01 4.514471620881180591e+00 -6.787338538519624542e+00 2.215098651577767086e-01 1.875336847132023976e+01 6.118152253021228448e-01 -1.328426584095838905e+02 -9.463337324972751485e-01
1.289523192521947470e+00 -1.500902652835802431e-01 4.431542436746426006e+00 -6.662657289002734906e+00 2.256550657640064017e-01 1.788938060907634764e+01 6.054808112960127220e-01 -1.236791449296891869e+02 -9.314117596268104426e-01
1.296278226475386042e+00 -1.527964383506222601e-01 4.353055742857252497e+00 -6.544655168632257158e+00 2.297236835620261042e-01 1.707556462040900414e+01 5.991798999368458389e-01 -1.154088515407793665e+02 -9.169579147327561186e-01
1.303104404202401367e+00 -1.555028469349617193e-01 4.277294343447627156e+00 -6.430750431329690819e+00 2.337926548197218901e-01 1.632198856650294516e+01 5.930274117539595657e-01 -1.077673684703639765e+02 -9.025114173603011603e-01
1.309876601396475770e+00 -1.581602133723555015e-01 4.205428581221570816e+00 -6.322702648647210211e+00 2.377878926455399000e-01 1.561010353968977071e+01 5.869072113130163748e-01 -1.008437886854143244e+02 -8.885157575456700263e-01
1.316719556154988924e+00 -1.608178165005517413e-01 4.135931770409278840e+00 -6.218216499641189721e+00 2.417834856838180224e-01 1.494898506007639938e+01 5.809301347027068241e-01 -9.444388291230370669e+01 -8.747254871200343951e-01
1.323507195371936618e+00 -1.634270227527193919e-01 4.069899457855327363e+00 -6.118939102948078634e+00 2.457063154397822746e-01 1.432277731824619416e+01 5.749841833580959793e-01 -8.862300404575161394e+01 -8.613620956486943703e-01
1.330365177246458641e+00 -1.660364667510949854e-01 4.005936766504685664e+00 -6.022773307378905372e+00 2.496295019835107487e-01 1.373966912688028508e+01 5.691763139229304436e-01 -8.320521724389244866e+01 -8.480050481503500492e-01
1.337169527348045728e+00 -1.685992870777167085e-01 3.945044096683129276e+00 -5.931223182094742974e+00 2.534825911935354448e-01 1.318600001811585720e+01 5.633984568728495068e-01 -7.826142779327885535e+01 -8.350594500201192760e-01
1.344043838994813278e+00 -1.711623462980662869e-01 3.885969506084788971e+00 -5.842406473317300453e+00 2.573360389046194241e-01 1.266915752815274310e+01 5.577538181663381778e-01 -7.366144689601217976e+01 -8.222998480677535804e-01
1.350863231094595829e+00 -1.736793920730047014e-01 3.829652363974024087e+00 -5.757735492185844350e+00 2.611203067430124536e-01 1.217730198677963394e+01 5.521381263625765312e-01 -6.945016868774141017e+01 -8.099300688782052893e-01
1.357752176377790665e+00 -1.761966777741029999e-01 3.774939117022856117e+00 -5.675475909268124397e+00 2.649049346228026236e-01 1.171711118447649191e+01 5.466510235255376271e-01 -6.550614985138830093e+01 -7.975659308970235450e-01
1.364587838642600470e+00 -1.786696094494565623e-01 3.722691117309516962e+00 -5.596922739582568695e+00 2.686228775066155094e-01 1.127825578808854701e+01 5.411918469673558940e-01 -6.188530437598150513e+01 -7.855776504308872310e-01
1.371492678059529347e+00 -1.811427821728895382e-01 3.671864799389924272e+00 -5.520507016644814691e+00 2.723411821062008409e-01 1.086677605562340787e+01 5.358567924986556985e-01 -5.849736171001250540e+01 -7.737581400889561589e-01
1.378342990081889541e+00 -1.835721776186705900e-01 3.623271520006663859e+00 -5.447448589280628362e+00 2.759936688372062186e-01 1.047361571896845511e+01 5.305486865730496548e-01 -5.537822303125206957e+01 -7.622950479222752040e-01
1.385262077302752637e+00 -1.860018151221519978e-01 3.575942959448759506e+00 -5.376291620290238882e+00 2.796465187895929017e-01 1.010425119332583499e+01 5.253604476426818604e-01 -5.244144920622007078e+01 -7.508369271966279790e-01
1.392128228999694795e+00 -1.883892299274949333e-01 3.530626032656579927e+00 -5.308159072495112873e+00 2.832358881259257055e-01 9.750697812464762748e+00 5.201982201433333897e-01 -4.973115777498043855e+01 -7.397225247084834310e-01
1.399062784902207701e+00 -1.907768878871617946e-01 3.486438874996723225e+00 -5.241725090889766570e+00 2.868256223195480015e-01 9.417926026290963648e+00 5.151517533744494060e-01 -4.718295171521467779e+01 -7.287616554687924575e-01
1.405943198949551887e+00 -1.931228673679967478e-01 3.444087209303406283e+00 -5.178050707451926193e+00 2.903526941184099153e-01 9.098866752373513833e+00 5.101303997724239148e-01 -4.482544745340204884e+01 -7.181270488589251988e-01
1.412891621468279402e+00 -1.954690909899332030e-01 3.402747890303160716e+00 -5.115898349634729669e+00 2.938801322453856724e-01 8.798042239456831837e+00 5.052208917821039424e-01 -4.259550139712082739e+01 -7.074966955830201965e-01
1.419787453354251605e+00 -1.977750945648815706e-01 3.363072980131847967e+00 -5.056248372425591775e+00 2.973471006748106271e-01 8.509163794536030778e+00 5.003356355282881918e-01 -4.052811241510185880e+01 -6.971812930451767309e-01
1.426750927686599502e+00 -2.000813433524782359e-01 3.324308533436195923e+00 -4.997967242944412192e+00 3.008144370301100157e-01 8.236350719045434587e+00 4.955584427521064761e-01 -3.857617266184171001e+01 -6.870054183911552537e-01
1.433660648130060444e+00 -2.023478880875793640e-01 3.287072397011109093e+00 -4.941983874658401277e+00 3.042220794739071144e-01 7.973989037493068643e+00 4.908046755469116507e-01 -3.676257213316756634e+01 -6.771286473861249933e-01
