# phi_h ps_radius shadow_radius
1.000000000000000021e-02 1.500003989708421859e+00 2.598198879048498888e+00
2.000000000000000111e-01 1.498398742765705283e+00 2.626454683421492131e+00
4.000000000000000222e-01 1.477529598383895415e+00 2.707556223640183557e+00
5.000000000000000000e-01 1.457384529489373248e+00 2.775648588518522253e+00
5.999999999999999778e-01 1.432915833126539029e+00 2.870483878622304363e+00
8.000000000000000444e-01 1.385307911964639205e+00 3.162940324244951640e+00
1.199999999999999956e+00 1.366874928475827922e+00 4.138594093903220639e+00
1.399999999999999911e+00 1.397375587947884190e+00 4.823200584370050947e+00
1.600000000000000089e+00 1.448699807809931794e+00 5.733472147653356110e+00
1.699999999999999956e+00 1.481814620671622285e+00 6.323147218670851721e+00
1.800000000000000044e+00 1.520117973744779194e+00 7.044894880246401314e+00
2.000000000000000000e+00 1.614402369953950478e+00 9.097912111350945352e+00
2.100000000000000089e+00 1.672249604240335641e+00 1.060249481245664960e+01
2.299999999999999822e+00 1.818213862179510754e+00 1.542661660063317264e+01
2.450000000000000178e+00 1.968269987292004419e+00 2.223794752643690131e+01
2.500000000000000000e+00 2.030361724718380056e+00 2.570097835817532683e+01
2.629999999999999893e+00 2.237706485030121151e+00 4.050906330698124691e+01
