# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 9.954384385991785766e-01
1.007199736217978980e+00 -3.590166886636566353e-03 1.395304541971719345e+02 -2.785385837416728236e+02 7.166894179150951061e-03 inf 9.882903023887122940e-01
1.014503896666086646e+00 -7.180470060824079709e-03 6.976390293913382834e+01 -1.392666484964402400e+02 1.433406042194140806e-02 1.270696155555510450e+04 9.742909249107317704e-01
1.021763882144210989e+00 -1.069832899982732163e-02 4.682391207388720034e+01 -9.347254136754821729e+01 2.135660938415440135e-02 4.712939755653294924e+03 9.603919436338295146e-01
1.029128524277108214e+00 -1.421632650476608098e-02 3.523678330708474249e+01 -7.034165961683181933e+01 2.837943495821138029e-02 2.499789084477021333e+03 9.467347833020256509e-01
1.036597877847541316e+00 -1.773342661049176830e-02 2.824821324840078063e+01 -5.639068082918402780e+01 3.540046909185001756e-02 1.547344818388117119e+03 9.331759683493288104e-01
1.044176448355206732e+00 -2.125067341948315078e-02 2.357278786782803337e+01 -4.705733226708829164e+01 4.242179608143814562e-02 1.047572208255303167e+03 9.196581661091676185e-01
1.051934679504481940e+00 -2.479895877811406218e-02 2.019994553390570502e+01 -4.032427364984914675e+01 4.950508397765207569e-02 7.535996555317454977e+02 9.062395518533122862e-01
1.059809060967532579e+00 -2.834740246168480221e-02 1.767137632251385426e+01 -3.527660078737831384e+01 5.658868792952875815e-02 5.666914984018433188e+02 8.929858483375685552e-01
1.067654341598273771e+00 -3.183083841281450499e-02 1.573749362867897439e+01 -3.141607478354759664e+01 6.354251976805669333e-02 4.402679277929217960e+02 8.798303748493212506e-01
1.075616638478672504e+00 -3.531443625276575737e-02 1.418506622005556039e+01 -2.831703139312274686e+01 7.049667477661469839e-02 3.525627473317829867e+02 8.670688805711509461e-01
1.083477815001111288e+00 -3.870372324609396009e-02 1.294287925831584829e+01 -2.583730752831180411e+01 7.726256113820240135e-02 2.879264476818452749e+02 8.544012060946667431e-01
