# phi_h ps_radius shadow_radius
1.000000000000000021e-03 1.500033574805409664e+00 2.598500207248671146e+00
1.000000000000000021e-02 1.500244350483843414e+00 2.598186943745721234e+00
1.000000000000000056e-01 1.500098806195323542e+00 2.608148444669999844e+00
2.000000000000000111e-01 1.500522164608218523e+00 2.639082609799728196e+00
2.999999999999999889e-01 1.501316491377208351e+00 2.697801838792812212e+00
4.000000000000000222e-01 1.502187096928879306e+00 2.809994428831520175e+00
4.500000000000000111e-01 1.502352444420431477e+00 2.922345855611587773e+00
4.899999999999999911e-01 1.501922957615658527e+00 3.176016906190098688e+00
4.989999999999999991e-01 1.501399968953877728e+00 3.546722604569340742e+00
4.994999999999999996e-01 1.501309828857649187e+00 3.663320656270674380e+00
4.999000000000000110e-01 1.501112859437427227e+00 3.945216733723848179e+00
