# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 1.546181552765198397e+01 nan -1.105817135668516826e+01
1.003602779482655194e+00 -1.251614405157754583e-04 1.795154498410387234e+01 -7.989681134054693757e+03 5.570551174762405910e-02 inf 1.542197537477243330e+01 -inf -1.642408655097729309e+01
1.007231612871791304e+00 -2.513688174413558391e-04 8.966538665110672213e+00 -3.978218182266379245e+03 1.115257556286528562e-01 7.365541457118276739e+05 1.534304289194252213e+01 -inf -2.174518200816768143e+01
1.010853435456617433e+00 -3.774752347815595369e-04 5.989722689426761448e+00 -2.649180417302576643e+03 1.669526373508459782e-01 2.746435668881120509e+05 1.526430854094001610e+01 -8.116320483512119949e+07 -2.149174882255594810e+01
1.014501398876183957e+00 -5.046380721259129511e-04 4.494502975580528137e+00 -1.981618223506704908e+03 2.224940122263098230e-01 1.465150151298095298e+05 1.518680247714238263e+01 -2.525486758619341627e+07 -2.132910611203923068e+01
1.018112228094623983e+00 -6.306528950159970715e-04 3.607627409943437335e+00 -1.585658304120896901e+03 2.771904873667867530e-01 9.132371997962103342e+04 1.510948498251868521e+01 -1.155941058882942423e+07 -2.112630309031895948e+01
1.021748852563383103e+00 -7.577170876490875147e-04 3.012054499264320118e+00 -1.319753792411658196e+03 3.319993048745449871e-01 6.273872223594887328e+04 1.503369057391356378e+01 -6.303951043945663609e+06 -2.092722809720741139e+01
1.025347348525357249e+00 -8.835982223419907178e-04 2.590935023379467239e+00 -1.131736093073483744e+03 3.859610491874309046e-01 4.571387498722746386e+04 1.495807396695396463e+01 -3.853640842340412550e+06 -2.073157950167010100e+01
1.028971281149223982e+00 -1.010520942863473923e-03 2.272557213745428406e+00 -9.895885949343502261e+02 4.400329258825955714e-01 3.490607645666555618e+04 1.488395822149106884e+01 -2.527691300053467043e+06 -2.053956713288029334e+01
1.032556071922718255e+00 -1.136224393342166262e-03 2.027347346274748663e+00 -8.801078430102465973e+02 4.932553870640372651e-01 2.749244757122617739e+04 1.481000990879150336e+01 -1.756556197595790261e+06 -2.035067395275767765e+01
1.036165927830209110e+00 -1.262960902194431396e-03 1.829539216701629778e+00 -7.917901482638701509e+02 5.465857145182392296e-01 2.226827523966914669e+04 1.473754231268105030e+01 -1.268749847696662880e+06 -2.016565484699001942e+01
1.039735493665335797e+00 -1.388436675865817359e-03 1.669275135039264946e+00 -7.202345035839740603e+02 5.990624187764456154e-01 1.838355732873006127e+04 1.466523216792890238e+01 -9.496969235629778123e+05 -1.998342964391182619e+01
1.043329738650458083e+00 -1.514936161564506495e-03 1.534578668650205868e+00 -6.600938213576464477e+02 6.516446634043115971e-01 1.546482614269152509e+04 1.459438480317231068e+01 -7.284554682797126006e+05 -1.980504764363555381e+01
1.046882504140082659e+00 -1.640131447007444915e-03 1.421729578719135301e+00 -6.097072291520186127e+02 7.033686398372045456e-01 1.317727846654832501e+04 1.452368528496697841e+01 -5.726287066925553372e+05 -1.962917740524584076e+01
1.050459548187417269e+00 -1.766340259303366680e-03 1.324159953494040254e+00 -5.661423356756832845e+02 7.551957732608629570e-01 1.138209252857833962e+04 1.445443250690572512e+01 -4.577690733667215100e+05 -1.945732118901450036e+01
1.053993809198148446e+00 -1.891196811191264487e-03 1.240450825285681180e+00 -5.287656969821666735e+02 8.061585188350337550e-01 9.921942939689470222e+03 1.438531833837912899e+01 -3.726095129569767159e+05 -1.928757688912252988e+01
1.057551932467333033e+00 -2.017055806189047614e-03 1.166558983096444457e+00 -4.957721035440084734e+02 8.572219789055670613e-01 8.739402676335208525e+03 1.431763759977964590e+01 -3.070320239935320569e+05 -1.912207327436244952e+01
1.061065832524569208e+00 -2.141509044269766446e-03 1.102033798402679343e+00 -4.669604373961400370e+02 9.074131859199143779e-01 7.750605304049032384e+03 1.425008659013331069e+01 -2.566142247287637147e+05 -1.896521136069192792e+01
1.064603161515549123e+00 -2.266952673030353266e-03 1.044165481476094781e+00 -4.411208102828402389e+02 9.577026034095096341e-01 6.929957000742298078e+03 1.418390955052757718e+01 -2.163230633571321086e+05 -1.879886033893420105e+01
1.068099913463406381e+00 -2.391117139752517180e-03 9.928672873501568352e-01 -4.182145589502574126e+02 1.007183953727470938e+00 6.228971367457763336e+03 1.411785388495135152e+01 -1.849024299861219188e+05 -1.869799720684065747e+01
1.071619711684615117e+00 -2.516261844279920386e-03 9.462875513645776504e-01 -3.974149201813972354e+02 1.056761233472814032e+00 5.632579824362461295e+03 1.405271411506472390e+01 -1.582317332101635402e+05 -1.848647862540120101e+01
1.075140985648292524e+00 -2.641622969184459404e-03 9.040527642281879217e-01 -3.785551578197880076e+02 1.106130128205210061e+00 5.114850311985355802e+03 1.398768925450554690e+01 -1.372485140965327446e+05 -1.838858656388871538e+01
1.078685477266615456e+00 -2.767977699756637208e-03 8.653551016990802536e-01 -3.612745868898874164e+02 1.155594966779015298e+00 4.662813997278492025e+03 1.392278467301996514e+01 -1.190266992186590069e+05 -1.818137045275765473e+01
1.082274546500207046e+00 -2.896093742260952546e-03 8.295663004853446321e-01 -3.452926904290430912e+02 1.205449159898300815e+00 4.265766110106525048e+03 1.385799134200959948e+01 -1.040635438323841663e+05 -1.802914546470744384e+01
1.085887579013495197e+00 -3.025241660409270367e-03 7.965578311828763747e-01 -3.305521053365088164e+02 1.255401630431546955e+00 3.913337766456781537e+03 1.379293693297384671e+01 -9.144190443727876118e+04 -1.788029139333978890e+01
1.089545124287579769e+00 -3.156162530627923228e-03 7.658540710391391615e-01 -3.168404637897556313e+02 1.305731780785813312e+00 3.600930630869786910e+03 1.372799129257343154e+01 -8.065350269826101430e+04 -1.772995553264607338e+01
1.093227391916459235e+00 -3.288154655795471476e-03 7.373747516897874998e-01 -3.041219482293723217e+02 1.356162518052555388e+00 3.321356146682840517e+03 1.366280237658635244e+01 -7.144909771239140537e+04 -1.758285789949426459e+01
1.096954147723025796e+00 -3.421933367528588558e-03 7.107523593124733807e-01 -2.922324582615197528e+02 1.406959803787809271e+00 3.071562591477205842e+03 1.359771948633396121e+01 -6.350041801329182636e+04 -1.743451386378683310e+01
1.100706399079354414e+00 -3.556823876502831876e-03 6.859369403011148503e-01 -2.811497096064334187e+02 1.457859959489886448e+00 2.846436065514592883e+03 1.353240952251749540e+01 -5.665126751245031483e+04 -1.728919391622095958e+01
1.104503192821877811e+00 -3.693518020223768208e-03 6.626393331793821728e-01 -2.707445840319512058e+02 1.509116573569428299e+00 2.643899618118588478e+03 1.346720258173761131e+01 -5.068372617444695061e+04 -1.714288930537939137e+01
1.108326270667764346e+00 -3.831365746599835979e-03 6.408291554872194151e-01 -2.610035340237237165e+02 1.560478313817829754e+00 2.460232580443175721e+03 1.340178290735617850e+01 -4.549686302448988135e+04 -1.699941007695165140e+01
